cards,deck_count
"['Enduring Renewal', ""Ashnod's Altar""]",1358
"['Darien, King of Kjeldor', 'Soul Warden', 'Blasting Station']",1354
"['Preston, the Vanisher', 'Felidar Guardian', 'Slip On the Ring']",1349
"['Hullbreaker Horror', 'Sol Ring']",190649
"['Dramatic Reversal', 'Isochron Scepter']",81916
"['Hullbreaker Horror', 'Mana Vault']",45661
"['Maddening Cacophony', 'Bruvac the Grandiloquent']",29958
"['Hullbreaker Horror', 'Mana Crypt']",28986
"['Peregrine Drake', 'Deadeye Navigator']",28813
"['Tidespout Tyrant', 'Sol Ring']",24117
"['Ghostly Flicker', 'Peregrine Drake', 'Archaeomancer']",24070
"[""Narset's Reversal"", 'Isochron Scepter']",22234
"['Mystic Forge', ""Sensei's Divining Top"", 'Etherium Sculptor']",20336
"['Teferi, Temporal Archmage', 'The Chain Veil']",18436
"['The Reality Chip', ""Sensei's Divining Top"", 'Etherium Sculptor']",17187
"['Maddening Cacophony', 'Fraying Sanity']",16564
"['Bruvac the Grandiloquent', 'Traumatize']",15419
"['Teferi, Master of Time', 'Ichormoon Gauntlet', 'The Chain Veil']",14276
"['Cut Your Losses', 'Bruvac the Grandiloquent']",13587
"['The Reality Chip', ""Sensei's Divining Top"", 'Foundry Inspector']",13462
"['Bruvac the Grandiloquent', 'Terisian Mindbreaker']",12590
"['Peregrine Drake', 'Venser, Shaper Savant', 'Panharmonicon']",12133
"['Traumatize', 'Fraying Sanity']",11866
"['Ioreth of the Healing House', 'Vizier of Tumbling Sands']",11835
"['Basalt Monolith', 'Forensic Gadgeteer']",11095
"['Cut Your Losses', 'Fraying Sanity']",11032
"['Ioreth of the Healing House', 'Kelpie Guide']",10882
"['Tidespout Tyrant', 'Mana Vault']",10799
"['Naru Meha, Master Wizard', 'Ghostly Flicker']",10616
"['Fleet Swallower', 'Bruvac the Grandiloquent']",10568
"['Archetype of Imagination', 'Stormtide Leviathan']",10083
"['Twinning Staff', ""Narset's Reversal""]",9925
"['Tidespout Tyrant', 'Mox Opal']",9593
"['Tidespout Tyrant', 'Mox Amber']",9439
"['Terisian Mindbreaker', 'Fraying Sanity']",9347
"['Fleet Swallower', 'Fraying Sanity']",9125
"['Enter the Infinite', ""Thassa's Oracle""]",8904
"['Valley Floodcaller', 'Retraction Helix']",8755
"['High Tide', 'Archaeomancer', 'Snap']",8686
"['Valley Floodcaller', 'Retraction Helix', 'Sol Ring']",8666
"['Peregrine Drake', 'Archaeomancer', 'Displace']",8442
"['Kelpie Guide', 'Freed from the Real']",8087
"['The Reality Chip', ""Sensei's Divining Top"", 'Cloud Key']",7803
"['Pili-Pala', 'Grand Architect']",7753
"['Jace, Wielder of Mysteries', 'Enter the Infinite']",7716
"['Brine Elemental', 'Vesuvan Shapeshifter']",7421
"['Valley Floodcaller', 'Retraction Helix', 'Mana Vault']",7405
"['Primal Amulet', 'Frantic Search', ""Narset's Reversal""]",7070
"['Power Artifact', 'Grim Monolith']",6843
"['Power Artifact', 'Basalt Monolith']",6728
"['Narset, Parter of Veils', ""Teferi's Puzzle Box""]",6702
"['Nexus of Fate', 'Isochron Scepter', 'Mystical Tutor']",6643
"['Tidespout Tyrant', 'Grim Monolith']",6388
"['Cloud of Faeries', 'Deadeye Navigator']",6333
"['Tidespout Tyrant', 'Mana Crypt']",6227
"['Displacer Kitten', ""Sensei's Divining Top"", 'The Reality Chip']",6221
"['Ioreth of the Healing House', 'Aphetto Alchemist']",6109
"['Unctus, Grand Metatect', 'Aphetto Alchemist']",5692
"['Urza, Lord High Artificer', 'Forensic Gadgeteer', ""Sensei's Divining Top"", 'Etherium Sculptor']",5562
"['Leveler', ""Thassa's Oracle""]",5556
"['The Reality Chip', ""Sensei's Divining Top"", ""Jhoira's Familiar""]",5534
"[""Sensei's Divining Top"", 'Crystal Skull, Isu Spyglass', 'Etherium Sculptor']",5398
"['Marvin, Murderous Mimic', 'Ioreth of the Healing House']",5156
"[""Illusionist's Bracers"", 'Aphetto Alchemist']",5147
"['Wanderwine Prophets', 'Deeproot Pilgrimage']",5010
"['Valley Floodcaller', 'Banishing Knack']",4976
"['Myr Galvanizer', 'Clock of Omens', 'Silver Myr']",4964
"['Valley Floodcaller', 'Banishing Knack', 'Sol Ring']",4914
"['Naru Meha, Master Wizard', 'Displace']",4905
"['Kelpie Guide', ""Pemmin's Aura""]",4831
"['Maddening Cacophony', 'Keening Stone']",4789
"['Sai, Master Thopterist', 'Myr Retriever', 'Scrap Trawler', 'Krark-Clan Ironworks']",4787
"['Leveler', 'Laboratory Maniac']",4688
"['Ghostly Flicker', 'Archaeomancer', 'Gilded Lotus']",4665
"['Ioreth of the Healing House', 'Fatestitcher']",4605
"['Mindslaver', 'Academy Ruins']",4591
"['Orvar, the All-Form', 'Peregrine Drake', 'Mind Games']",4570
"['Displacer Kitten', ""Sensei's Divining Top"", 'Mystic Forge']",4564
"['Emry, Lurker of the Loch', 'Mindslaver']",4545
"[""Sensei's Divining Top"", 'Crystal Skull, Isu Spyglass', 'Foundry Inspector']",4541
"['Traumatize', 'Keening Stone']",4304
"['Ioreth of the Healing House', 'Forensic Researcher']",4226
"['Intruder Alarm', 'Shrieking Drake']",4198
"['Urza, Lord High Artificer', 'Forensic Gadgeteer', ""Sensei's Divining Top"", 'Foundry Inspector']",4195
"['Valley Floodcaller', 'Banishing Knack', 'Mana Vault']",4174
"['Palinchron', 'Deadeye Navigator']",4071
"['Drafna, Founder of Lat-Nam', 'Urza, Lord High Artificer', 'Sai, Master Thopterist']",4065
"['Ioreth of the Healing House', 'Clever Conjurer']",4018
"['Dramatic Reversal', 'Lithoform Engine']",4016
"['Mechanized Production', 'Masterful Replication']",3986
"['Sai, Master Thopterist', 'Myr Retriever', 'Scrap Trawler', ""Ashnod's Altar""]",3964
"['Emry, Lurker of the Loch', 'Mirran Spy', ""Mishra's Bauble""]",3808
"['Orvar, the All-Form', 'Peregrine Drake', 'Clockspinning']",3793
"['Urza, Lord High Artificer', 'Worldwalker Helm', 'Mechanized Production']",3786
"['Swarm Intelligence', ""Narset's Reversal"", 'Frantic Search']",3774
"['Cut Your Losses', 'Keening Stone']",3689
"['The One Ring', 'Mind Over Matter']",3682
"['Meloku the Clouded Mirror', 'Retreat to Coralhelm', 'Walking Atlas']",3669
"['Leveler', 'Jace, Wielder of Mysteries']",3664
"['Ghostly Flicker', 'Peregrine Drake', 'Shipwreck Dowser']",3645
"['Hullbreaker Horror', 'Peregrine Drake', 'Cloud of Faeries']",3638
"['Kitsa, Otterball Elite', 'Dramatic Reversal']",3609
"['Valley Floodcaller', 'Retraction Helix', 'Grim Monolith']",3591
"['Exquisite Blood', 'Sanguine Bond']",95376
"['Exquisite Blood', 'Vito, Thorn of the Dusk Rose']",80848
"['Aetherflux Reservoir', 'Exquisite Blood']",38997
"['Bloodchief Ascension', 'Mindcrank']",37317
"['Gravecrawler', 'Phyrexian Altar']",36100
"['Exquisite Blood', 'Marauding Blight-Priest']",35715
"[""Bolas's Citadel"", ""Sensei's Divining Top"", 'Aetherflux Reservoir']",34899
"['Sheoldred, the Apocalypse', 'Peer into the Abyss']",34385
"['Reassembling Skeleton', 'Pitiless Plunderer', ""Ashnod's Altar""]",34177
"['Orcish Bowmasters', 'Peer into the Abyss']",32818
"['Peer into the Abyss', 'Underworld Dreams']",24758
"['Bloodthirsty Conqueror', 'Vito, Thorn of the Dusk Rose']",24148
"['Exquisite Blood', 'Enduring Tenacity']",21551
"['Pitiless Plunderer', 'Reassembling Skeleton', 'Phyrexian Altar']",21352
"['Psychosis Crawler', 'Peer into the Abyss']",20396
"['Bloodthirsty Conqueror', 'Sanguine Bond']",20337
"['Sheoldred, the Apocalypse', ""Bolas's Citadel"", ""Sensei's Divining Top""]",17007
"['Bloodthirsty Conqueror', 'Enduring Tenacity']",16123
"['Professor Onyx', 'Chain of Smog']",15748
"['Reassembling Skeleton', 'Pawn of Ulamog', 'Pitiless Plunderer', 'Viscera Seer']",15450
"['Sheoldred, the Apocalypse', 'Vilis, Broker of Blood', ""K'rrik, Son of Yawgmoth""]",15353
"['Nest of Scarabs', 'Blowfly Infestation']",13879
"['Ob Nixilis, the Hate-Twisted', 'Peer into the Abyss']",13153
"['Bloodthirsty Conqueror', 'Marauding Blight-Priest']",12958
"['Reassembling Skeleton', 'Phyrexian Altar', 'Pawn of Ulamog']",12314
"['Gravecrawler', 'Pitiless Plunderer', ""Ashnod's Altar""]",10916
"['Exquisite Blood', 'Starscape Cleric']",10403
"['Mikaeus, the Unhallowed', 'Yawgmoth, Thran Physician', 'Gray Merchant of Asphodel']",10156
"['Sheoldred, the Apocalypse', 'Vilis, Broker of Blood', 'Necropotence']",9569
"['Peer into the Abyss', ""Alhammarret's Archive""]",9405
"['Yawgmoth, Thran Physician', 'Nest of Scarabs', 'Blood Artist']",9137
"['Peer into the Abyss', 'Bloodletter of Aclazotz']",9114
"['Aetherflux Reservoir', 'Bloodthirsty Conqueror']",9025
"['Warren Soultrader', 'Gravecrawler', 'Blood Artist']",9023
"['Mikaeus, the Unhallowed', 'Plague Belcher', 'Carrion Feeder']",8955
"['Asmodeus the Archfiend', 'Necrotic Ooze', 'Skirge Familiar']",8871
"['Exquisite Blood', 'Defiant Bloodlord']",8840
"['Walking Ballista', 'Mikaeus, the Unhallowed']",8821
"['Gravecrawler', 'Pitiless Plunderer', 'Carrion Feeder']",8798
"['Gravecrawler', 'Pitiless Plunderer', 'Viscera Seer']",8459
"['Warren Soultrader', 'Gravecrawler', 'Zulaport Cutthroat']",8387
"['Mikaeus, the Unhallowed', 'Plague Belcher', 'Phyrexian Altar']",7629
"['Yawgmoth, Thran Physician', 'Nest of Scarabs', 'Zulaport Cutthroat']",7427
"['Mikaeus, the Unhallowed', 'Triskelion']",7074
"['Sheoldred, the Apocalypse', 'Vilis, Broker of Blood', 'Blood Celebrant']",6834
"['Reassembling Skeleton', 'Sifter of Skulls', 'Pitiless Plunderer', 'Viscera Seer']",6743
"['Shard of the Nightbringer', 'Sanguine Bond']",6654
"['Vito, Thorn of the Dusk Rose', 'Shard of the Nightbringer']",6650
"['Mikaeus, the Unhallowed', 'Plague Belcher', ""Ashnod's Altar""]",6602
"['Exquisite Blood', 'Epicure of Blood']",6560
"['Ayara, First of Locthwain', 'Plague of Vermin']",6554
"['Thran Vigil', 'Viscera Seer']",6469
"['Thran Vigil', ""Ashnod's Altar""]",6396
"['Bloodthirsty Conqueror', 'Starscape Cleric']",6303
"['Chainer, Dementia Master', ""K'rrik, Son of Yawgmoth"", 'Gray Merchant of Asphodel', 'Dimir House Guard']",6176
"['Bloodletter of Aclazotz', 'Blood Tribute']",6142
"['Sheoldred, the Apocalypse', 'Vilis, Broker of Blood', 'Skirge Familiar']",6014
"['Sedgemoor Witch', 'Chain of Smog']",5929
"['Yawgmoth, Thran Physician', 'Mikaeus, the Unhallowed', 'Ayara, First of Locthwain']",5821
"['Bloodsoaked Champion', 'Pitiless Plunderer', ""Ashnod's Altar""]",5735
"['Thran Vigil', 'Carrion Feeder']",5705
"['Marrow-Gnawer', 'Thornbite Staff']",5525
"['Nether Traitor', 'Phyrexian Altar', 'Pawn of Ulamog']",5383
"['Reassembling Skeleton', 'Phyrexian Altar', 'Sifter of Skulls']",5331
"['Maralen of the Mornsong', 'Opposition Agent']",5304
"['Warren Soultrader', 'Gravecrawler', 'Bastion of Remembrance']",5226
"['Sheoldred, the Apocalypse', ""Lich's Mastery""]",4949
"['Maha, Its Feathers Night', 'Kaervek, the Spiteful']",4768
"['Myr Galvanizer', 'Clock of Omens', 'Leaden Myr']",4744
"['Yawgmoth, Thran Physician', 'Nest of Scarabs', 'Bastion of Remembrance']",4570
"['Marionette Master', 'Nim Deathmantle', ""Ashnod's Altar""]",4508
"['Warren Soultrader', 'Cauldron Familiar', 'Academy Manufactor']",4505
"['Warren Soultrader', 'Forsaken Miner', 'Blood Artist']",4475
"['Bloodletter of Aclazotz', 'Rush of Dread']",4431
"['Imotekh the Stormlord', 'Scrap Trawler', 'Myr Retriever', ""Ashnod's Altar""]",4422
"['Cult Conscript', 'Pitiless Plunderer', ""Ashnod's Altar""]",4393
"['Liliana, Untouched by Death', 'Phyrexian Altar']",4361
"['Maha, Its Feathers Night', ""Night of Souls' Betrayal""]",4289
"['Academy Manufactor', 'Pitiless Plunderer', 'Cauldron Familiar', ""Ashnod's Altar""]",4227
"['Gravecrawler', 'Pitiless Plunderer', 'Altar of Dementia']",4048
"['Thran Vigil', 'Yahenni, Undying Partisan']",3975
"['Kokusho, the Evening Star', 'Mikaeus, the Unhallowed', 'Yawgmoth, Thran Physician']",3954
"['Chainer, Dementia Master', ""K'rrik, Son of Yawgmoth"", 'Gray Merchant of Asphodel', 'Viscera Seer']",3938
"['Bloodletter of Aclazotz', 'Shard of the Nightbringer']",3893
"['Pitiless Plunderer', 'Bloodsoaked Champion', 'Phyrexian Altar']",3823
"['Reassembling Skeleton', 'Altar of Dementia', 'Pitiless Plunderer', 'Pawn of Ulamog']",3626
"['Academy Manufactor', 'Pitiless Plunderer', 'Cauldron Familiar', 'Viscera Seer']",3594
"['Forsaken Miner', 'Phyrexian Altar', 'Blood Artist']",3549
"['Yawgmoth, Thran Physician', 'Pawn of Ulamog', 'Zulaport Cutthroat', 'Butcher Ghoul']",3500
"['Repay in Kind', 'Blood Celebrant']",3472
"['Mikaeus, the Unhallowed', 'Putrid Goblin', 'Carrion Feeder']",3442
"['Mirkwood Bats', 'Plague of Vermin']",3431
"['Imotekh the Stormlord', 'Nim Deathmantle', ""Ashnod's Altar""]",3375
"['Repay in Kind', 'Necropotence']",3287
"['Mikaeus, the Unhallowed', 'Putrid Goblin', ""Ashnod's Altar""]",3281
"['Phyrexian Altar', 'Reassembling Skeleton', 'Blight Mound']",3225
"['Mikaeus, the Unhallowed', 'Plague Belcher', 'Altar of Dementia']",3219
"['Mikaeus, the Unhallowed', 'Putrid Goblin', 'Phyrexian Altar']",3201
"['Francisco, Fowl Marauder', 'Walking Ballista', ""Agatha's Soul Cauldron""]",3192
"['Imotekh the Stormlord', 'Scrap Trawler', 'Myr Retriever', 'Krark-Clan Ironworks']",3141
"['Dualcaster Mage', 'Twinflame']",57851
"['Underworld Breach', ""Lion's Eye Diamond"", 'Wheel of Fortune']",51243
"['Underworld Breach', 'Wheel of Fortune', ""Jeska's Will""]",46399
"['Kiki-Jiki, Mirror Breaker', 'Zealous Conscripts']",24509
"['Dualcaster Mage', 'Molten Duplication']",23294
"['Skirk Prospector', 'Goblin Warchief']",22265
"['Godo, Bandit Warlord', 'Helm of the Host']",21068
"['Blasphemous Act', 'Repercussion']",21050
"['Dualcaster Mage', 'Heat Shimmer']",20430
"['Skirk Prospector', 'Goblin Chieftain']",19762
"[""Jeska's Will"", 'Reiterate']",19285
"['Mana Geyser', 'Reiterate']",18653
"['Underworld Breach', 'Grinding Station', 'Mox Opal']",17506
"['Toralf, God of Fury', 'Blasphemous Act']",17489
"['Dockside Extortionist', 'Cloudstone Curio']",17345
"['Sword of Feast and Famine', 'Aggravated Assault']",16801
"['Solphim, Mayhem Dominus', 'Heartless Hidetsugu']",16252
"['Combat Celebrant', 'Kiki-Jiki, Mirror Breaker']",16054
"['The Reaver Cleaver', 'Aggravated Assault']",15975
"['Storm-Kiln Artist', 'Haze of Rage']",15851
"['Combat Celebrant', 'Helm of the Host']",15432
"['Storm-Kiln Artist', 'Seething Song', 'Reiterate']",13112
"['Ancient Copper Dragon', 'Aggravated Assault']",12748
"['Mycosynth Lattice', 'Vandalblast']",12510
"['Underworld Breach', 'Grinding Station', 'Mox Amber']",11883
"['Kiki-Jiki, Mirror Breaker', 'Helm of the Host']",11860
"['Neheb, the Eternal', 'Aggravated Assault']",11250
"['Goblin Sharpshooter', 'Basilisk Collar']",10910
"['Underworld Breach', 'Grinding Station', 'Mana Crypt']",10692
"['Rionya, Fire Dancer', 'Combat Celebrant']",10555
"['Fall of Cair Andros', 'Blasphemous Act']",10155
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Liquimetal Torque']",9397
"['Birgi, God of Storytelling', 'Seething Song', 'Reiterate']",9115
"['Blazing Sunsteel', 'Brash Taunter']",9069
"['All Will Be One', 'The Red Terror']",9018
"['Orthion, Hero of Lavabrink', 'Terror of the Peaks']",8932
"['Kiki-Jiki, Mirror Breaker', 'Delina, Wild Mage']",8867
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Universal Automaton']",8834
"['Thousand-Year Elixir', 'Skirk Prospector']",8562
"['Lightning Runner', 'Stone Idol Generator']",8233
"['Ojer Axonil, Deepest Might', 'Pyrohemia']",8042
"['Krenko, Mob Boss', 'Thornbite Staff', 'Skirk Prospector']",7959
"['Birgi, God of Storytelling', 'Grinning Ignus']",7451
"[""Chandra's Incinerator"", 'Repercussion']",7415
"['Krenko, Mob Boss', 'Skirk Prospector', 'Staff of Domination']",7386
"['Krenko, Mob Boss', 'Thornbite Staff', 'Goblin Bombardment']",7352
"['Fury Storm', 'Storm-Kiln Artist']",7286
"['Skirk Prospector', 'Rising of the Day']",7174
"['Port Razer', 'Helm of the Host']",7045
"['Delina, Wild Mage', 'Port Razer']",7002
"['Skirk Prospector', 'Fervor']",6807
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Adaptive Automaton']",6766
"['Reiterate', 'Seething Song', 'Ruby Medallion']",6512
"['Krenko, Mob Boss', 'Skirk Prospector', 'Umbral Mantle']",6352
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Metallic Mimic']",6351
"['Krenko, Mob Boss', 'Thornbite Staff', 'Goblin Trashmaster']",6028
"['Kiki-Jiki, Mirror Breaker', 'Thornbite Staff', 'Goblin Bombardment']",5936
"['Urabrask', 'Seething Song', 'Reiterate']",5915
"['Kiki-Jiki, Mirror Breaker', 'Thornbite Staff', 'Skirk Prospector']",5792
"['Stuffy Doll', 'Blazing Sunsteel']",5773
"[""Brass's Bounty"", 'Reiterate']",5730
"['Toralf, God of Fury', 'Star of Extinction']",5685
"['Cavern-Hoard Dragon', 'Aggravated Assault']",5678
"['Skirk Prospector', 'Pashalik Mons', 'Mana Echoes']",5452
"['Breath of Fury', 'Loyal Apprentice']",5276
"['Kiki-Jiki, Mirror Breaker', 'Coercive Recruiter']",5220
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Roaming Throne']",5139
"['Kiki-Jiki, Mirror Breaker', 'Port Razer']",5116
"['Ill-Tempered Loner', 'Stuffy Doll']",4998
"['Grinning Ignus', 'Runaway Steam-Kin']",4901
"['Myr Galvanizer', 'Clock of Omens', 'Iron Myr']",4879
"['Magda, Brazen Outlaw', 'Aggravated Assault']",4848
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Bloodline Pretender']",4728
"['Scourge of the Throne', 'Helm of the Host']",4713
"['Goblin Sharpshooter', ""Gorgon's Head""]",4619
"['Dualcaster Mage', 'Electroduplicate']",4571
"['Krenko, Mob Boss', 'Thornbite Staff', ""Ashnod's Altar""]",4401
"['Birgi, God of Storytelling', 'Underworld Breach', 'Burning Inquiry']",4371
"['Magda, Brazen Outlaw', 'Clock of Omens', 'Liquimetal Coating']",4369
"['Birgi, God of Storytelling', ""Sensei's Divining Top"", 'Helm of Awakening']",4342
"['Splinter Twin', 'Zealous Conscripts']",4316
"['Kiki-Jiki, Mirror Breaker', 'Thornbite Staff', ""Ashnod's Altar""]",4184
"['Krenko, Mob Boss', 'Staff of Domination', ""Ashnod's Altar""]",4149
"['Akki Battle Squad', 'Helm of the Host']",4134
"['Rionya, Fire Dancer', 'Terror of the Peaks']",4090
"['Reiterate', 'Seething Song', 'Bonus Round']",4024
"['Rousing Refrain', 'Rift Elemental']",4020
"['Combat Celebrant', 'Splinter Twin']",3936
"['Combat Celebrant', 'Mirage Phalanx']",3924
"['Birgi, God of Storytelling', ""Sensei's Divining Top"", 'Mystic Forge']",3915
"['Phyrexian Altar', 'Goblin Warchief']",3912
"['Krenko, Mob Boss', 'Umbral Mantle', ""Ashnod's Altar""]",3899
"['Krenko, Mob Boss', 'Skirk Prospector', 'Aggravated Assault']",3853
"['Skirk Prospector', 'Mass Hysteria']",3813
"['Krenko, Mob Boss', 'Skirk Prospector', 'Sword of the Paruns']",3782
"['Heartless Hidetsugu', ""Angrath's Marauders""]",3781
"['Phyrexian Altar', 'Goblin Chieftain']",3684
"['Birgi, God of Storytelling', 'Grinning Ignus', 'Ruby Medallion']",3676
"['Kiki-Jiki, Mirror Breaker', 'Thornbite Staff', 'Goblin Sharpshooter']",3525
"['Neheb, Dreadhorde Champion', 'Aggravated Assault']",3448
"['Peregrin Took', 'Nuka-Cola Vending Machine']",26486
"['Staff of Domination', 'Priest of Titania']",22786
"['Scurry Oak', 'Ivy Lane Denizen']",20681
"['Staff of Domination', 'Elvish Archdruid']",20550
"['Staff of Domination', 'Marwyn, the Nurturer']",20230
"['Ashaya, Soul of the Wild', 'Quirion Ranger']",19381
