name,saltiness,deck_count
Temporal Trespass,1.42,32826
Kismet,1.42,6451
Child of Alara,1.41,3682
Sensei's Divining Top,1.41,289794
Mindslicer,1.41,18825
Intruder Alarm,1.41,58612
"Aesi, Tyrant of Gyre Strait",1.41,81478
"Sheoldred, Whispering One",1.41,136878
Master of Cruelties,1.41,34107
Cleansing,1.4,771
Solemnity,1.4,21761
"Nicol Bolas, Planeswalker",1.4,14194
Cursed Rack,1.4,843
"Kalamax, the Stormsire",1.4,2812
Survival of the Fittest,1.4,47546
Bearer of the Heavens,1.4,4786
Karn Liberated,1.4,18238
Empress Galina,1.4,9258
Bruvac the Grandiloquent,1.39,33958
Phyrexian Obliterator,1.39,53769
Restore Balance,1.39,2194
Zur's Weirding,1.39,4638
Destructive Flow,1.39,1469
"Codie, Vociferous Codex",1.38,189
Devastating Dreams,1.38,731
Temporal Distortion,1.38,519
Eon Hub,1.38,865
Ethersworn Canonist,1.38,40837
Tangle Wire,1.38,15121
Protean Hulk,1.38,45016
Worldslayer,1.38,10909
Ancient Tomb,1.38,582080
Addle,1.38,537
Subtlety,1.38,17039
Akroan Conscriptor,1.38,1659
Krasis Incubation,1.38,414
Cultural Exchange,1.38,4004
Teferi's Puzzle Box,1.37,56438
Curse of Exhaustion,1.37,10202
Boom // Bust,1.37,5366
Rest in Peace,1.37,44743
Serra's Sanctum,1.37,34521
Walk the Aeons,1.36,21346
Realm Razer,1.36,1131
Ensnaring Bridge,1.36,18894
"Niv-Mizzet, Parun",1.36,105870
"Kiki-Jiki, Mirror Breaker",1.36,93506
Bounce Chamber,1.36,9
Exhaustion,1.36,2063
The Great Henge,1.35,264150
Desolation Angel,1.35,759
Reality Twist,1.35,227
Mycosynth Lattice,1.35,44745
War's Toll,1.35,20277
"K'rrik, Son of Yawgmoth",1.34,61157
Magus of the Tabernacle,1.33,2428
Phyrexian Tyranny,1.33,11421
Isolation Cell,1.33,5181
Constant Mists,1.33,38463
Mesmeric Orb,1.33,84012
Urza's Saga,1.33,400629
Field of the Dead,1.33,187506
Frozen Aether,1.33,10579
Feroz's Ban,1.32,927
All Is Dust,1.32,98219
"Kenrith, the Returned King",1.32,13219
Sanguine Bond,1.32,169039
Damping Field,1.32,256
Dimensional Breach,1.32,805
Walking Ballista,1.32,142227
Sword of Feast and Famine,1.31,135946
Blind Obedience,1.31,177162
"Ulalek, Fused Atrocity",1.31,3714
Time Spiral,1.31,14707
Hushbringer,1.31,33446
"Mondrak, Glory Dominus",1.31,204217
Counterbalance,1.31,36968
"Nekusar, the Mindrazer",1.31,5533
Necrogen Mists,1.31,16529
"Ugin, the Spirit Dragon",1.31,77730
Kormus Bell,1.31,5198
Nullstone Gargoyle,1.3,3804
Chalice of the Void,1.3,10495
Stench of Evil,1.3,235
Spreading Plague,1.3,3379
Eater of Days,1.3,6237
Night Terrors,1.3,267
Show and Tell,1.3,9915
Pariah's Shield,1.3,14544
Knowledge Pool,1.3,13704
"Teferi, Master of Time",1.3,60237
Ritual of Subdual,1.3,409
Tainted Strike,1.3,48144
Finale of Devastation,1.29,217691
Displacer Kitten,1.29,147026
Identity Crisis,1.29,379
Scorched Earth,1.29,287
"Skithiryx, the Blight Dragon",1.29,38829
Energy Flux,1.29,3835
Beacon of Tomorrows,1.28,19079
Curse of Marit Lage,1.28,343
Leonin Arbiter,1.28,16466
Magnetic Mountain,1.28,633
Flare of Denial,1.28,45606
Spelltithe Enforcer,1.28,10186
Omen of Fire,1.28,349
An-Zerrin Ruins,1.28,811
Karn's Temporal Sundering,1.28,33093
"Teferi, Hero of Dominaria",1.28,25861
Zur the Enchanter,1.28,26760
Metalworker,1.28,21858
Aven Mindcensor,1.28,103345
Living Plane,1.28,2389
Freyalise's Winds,1.27,592
Sire of Stagnation,1.27,38080
The Meathook Massacre,1.27,151461
"Rowan, Scion of War",1.27,3794
Test of Endurance,1.27,25330
Perplexing Chimera,1.27,22034
Treachery,1.27,10884
Volcanic Eruption,1.26,180
Roil Elemental,1.26,30718
Equipoise,1.26,824
Chain of Smog,1.26,36157
Orim's Chant,1.26,28092
Sliver Legion,1.26,21574
Grim Monolith,1.26,113542
Ghostly Prison,1.25,299634
Bottomless Pit,1.25,19935
"Thrasios, Triton Hero",1.25,28240
Doomsday,1.25,17005
Sol Ring,1.25,4876108
Approach of the Second Sun,1.25,92342
World Queller,1.25,1461
Seedtime,1.25,5649
"Malik, Grim Manipulator",1.25,2023
War Cadence,1.25,4940
"Momir Vig, Simic Visionary",1.25,4863
Relic Putrescence,1.25,1888
Exterminatus,1.25,8095
Meltdown,1.25,8779
Cephalid Constable,1.25,5658
Sidar Jabari of Zhalfir,1.25,1264
Drought,1.25,212
Aether Storm,1.25,484
"Baral, Chief of Compliance",1.25,78971
Descent into Madness,1.25,686
Omen Machine,1.25,7928
Defense Grid,1.24,50910
Crackdown,1.24,4119
Sorin Markov,1.24,30007
Marble Titan,1.24,2377
"Sisay, Weatherlight Captain",1.24,23382
Bazaar of Baghdad,1.24,6082
Root Maze,1.24,10095
Intuition,1.24,50502
Propaganda,1.23,346382
Krark-Clan Ironworks,1.23,59890
Aura of Silence,1.23,56324
Infernal Darkness,1.23,1904
Zo-Zu the Punisher,1.23,23236
Revel in Riches,1.23,96491
Stigma Lasher,1.23,4777
Pulverize,1.23,320
"Sauron, the Dark Lord",1.23,8677
Squeeze,1.23,328
Akroma's Will,1.23,251997
Crystalline Sliver,1.23,25562
Bribery,1.22,32921
Emergent Ultimatum,1.22,16184
Slow Motion,1.22,664
Blackmail,1.22,1281
Hunting Grounds,1.22,6711
Mana Chains,1.22,623
"Kydele, Chosen of Kruphix",1.22,2871
Altar of Bone,1.22,4134
Dack Fayden,1.22,16431
Planar Portal,1.22,4574
Gandalf the Grey,1.22,10972
Ore Gorger,1.22,415
Phyresis,1.22,37522
"Krenko, Mob Boss",1.22,55089
Reclamation,1.22,226
Magus of the Moat,1.22,13513
Phyrexian Censor,1.22,34024
Damping Engine,1.22,790
Mox Opal,1.22,252111
Thorn of Amethyst,1.21,23405
Felidar Sovereign,1.21,57887
Balancing Act,1.21,1038
Sphere of Safety,1.21,123913
Defense of the Heart,1.21,71806
Steel Golem,1.21,13379
Meddling Mage,1.2,2315
River's Rebuke,1.2,34045
Insurrection,1.2,42543
Imi Statue,1.2,517
Maralen of the Mornsong,1.2,5463
Burning of Xinye,1.2,412
Ruinous Ultimatum,1.2,117038
Sands of Time,1.2,1004
Rain of Salt,1.2,447
"Prosper, Tome-Bound",1.2,34728
Winged Sliver,1.2,17933
Frenetic Sliver,1.2,4062
Masako the Humorless,1.2,4866
Wheel of Fortune,1.19,136406
Mishra's Workshop,1.19,17605
"Teferi, Mage of Zhalfir",1.19,22750
"Ashiok, Dream Render",1.19,50704
Sliver Queen,1.19,10554
Tymna the Weaver,1.19,19080
"Oloro, Ageless Ascetic",1.18,793
"Yosei, the Morning Star",1.18,9403
Laboratory Maniac,1.18,127812
Sneak Attack,1.18,67703
Roaming Ghostlight,1.18,296
Mages' Contest,1.18,5619
Imperial Seal,1.18,166268
Magister Sphinx,1.18,11237
"Kataki, War's Wage",1.18,9546
Kaalia of the Vast,1.18,4417
Aether Barrier,1.17,3169
"Hinata, Dawn-Crowned",1.17,3093
"Yarok, the Desecrated",1.17,18354
Naked Singularity,1.17,449
"Jace, Wielder of Mysteries",1.17,95817
Fatespinner,1.17,14896
"Lord Xander, the Collector",1.17,12908
Unwinding Clock,1.17,149799
Unmask,1.17,1672
"Ob Nixilis, Captive Kingpin",1.17,15504
Phyrexian Purge,1.17,1579
Karma,1.17,1471
"Yidris, Maelstrom Wielder",1.17,3732
Hermit Druid,1.17,36186
"Thalia, Guardian of Thraben",1.17,61040
Loxodon Gatekeeper,1.17,6434
Chill,1.17,953
Nyxbloom Ancient,1.17,97839
Authority of the Consuls,1.16,125797
Decree of Silence,1.16,6976
Suppression Field,1.16,5998
Hall of Gemstone,1.16,4607
Denying Wind,1.16,728
Flayer of Loyalties,1.16,40706
Grief,1.16,11966
"Godo, Bandit Warlord",1.16,34669
Blatant Thievery,1.16,22314
"Omnath, Locus of Creation",1.16,10746
Stoic Angel,1.16,4301
Chrome Mox,1.15,356534
"Thalia, Heretic Cathar",1.15,68761
"Yawgmoth, Thran Physician",1.15,98541
Damping Sphere,1.15,20147
Illusionary Terrain,1.15,339
Noetic Scales,1.15,2810
Altar of Dementia,1.14,150692
Parallax Tide,1.14,1157
"Ygra, Eater of All",1.14,15152
Cabal Coffers,1.14,302558
Devious Cover-Up,1.14,5275
"Fynn, the Fangbearer",1.14,30227
Hellkite Tyrant,1.14,101224
Harmonic Sliver,1.14,28505
Splinter Twin,1.14,20490
Palinchron,1.14,11383
Shimmer,1.14,678
Phyrexian Altar,1.14,222436
Mindcrank,1.13,94666
Darksteel Monolith,1.13,45125
Planar Overlay,1.13,117
Silent Arbiter,1.13,85173
Telepathy,1.13,18684
Leyline of the Void,1.13,29235
Game Plan,1.12,9245
Curse of Hospitality,1.12,12457
Information Booth,1.12,16
Prize Wall,1.12,643
Malfegor,1.12,3273
Krond the Dawn-Clad,1.12,1463
Thorncaster Sliver,1.12,5134
Rakdos the Defiler,1.12,2764
"Lu Meng, Wu General",1.12,278
Skyshaper,1.12,667
Carnival Carnivore,1.12,264
Pestilence Rats,1.12,8534
Shatter Assumptions,1.12,275
Eternity Vessel,1.12,7241
Helldozer,1.12,1403
Eternal Dominion,1.12,3334
Pulmonic Sliver,1.12,9887
Time Stop,1.12,8574
Drana and Linvala,1.12,66994
Darksteel Mutation,1.12,153944
Raging River,1.12,1050
"Horobi, Death's Wail",1.12,6324
Mana Short,1.12,2552
Moonshaker Cavalry,1.12,76049
"Ojer Taq, Deepest Foundation",1.11,106787
Whims of the Fates,1.11,4504
Ice Cave,1.11,982
The Abyss,1.11,1023
Dread,1.11,4956
Lazotep Sliver,1.11,14583
Cowardice,1.11,1995
Creeping Corrosion,1.11,8489
Oracle en-Vec,1.11,616
Dragonlord Silumgar,1.11,16622
Swinging Ship,1.11,13
"Kumano, Master Yamabushi",1.11,944
"Gavi, Nest Warden",1.11,1100
Helm of Possession,1.11,3750
"Jodah, Archmage Eternal",1.11,13704
Wrath of Marit Lage,1.11,621
Persecute,1.11,661
Archon of Cruelty,1.1,73640
Trouble in Pairs,1.1,98145
Monomania,1.1,691
Plague Wind,1.1,14353
_____ Bird Gets the Worm,1.1,68
Choice of Damnations,1.1,4504
"Prowl, Stoic Strategist",1.1,8041
Kasmina's Transmutation,1.1,16138
Nightsnare,1.1,316
"Michiko Konda, Truth Seeker",1.1,16999
"Myrel, Shield of Argive",1.1,66729
Alrund's Epiphany,1.1,26031
Wish,1.09,811
Infernal Kirin,1.09,2843
Shadowborn Apostle,1.09,8491
"Kraum, Ludevic's Opus",1.09,2669
Killing Wave,1.09,13432
"Vraska, Scheming Gorgon",1.09,3181
Statecraft,1.09,3833
Helm of Chatzuk,1.09,1440
Ensnare,1.09,5471
No Mercy,1.09,58136
"Nicol Bolas, God-Pharaoh",1.09,21870
Thrumming Stone,1.09,43602
Anointed Procession,1.09,222200
Fleet Swallower,1.09,21698
Cathars' Crusade,1.08,143982
Blighted Agent,1.08,38739
Steam Vines,1.08,268
Balloon Stand,1.08,17
Mystical Tutor,1.08,399280
Mind Over Matter,1.08,10485
"Chatterfang, Squirrel General",1.08,67001
"Slicer, Hired Muscle",1.08,22358
Go-Shintai of Life's Origin,1.08,2817
Wit's End,1.08,1227
Sage of Hours,1.08,10720
Akroma's Memorial,1.08,73414
Grid Monitor,1.08,9877
Gather Specimens,1.08,3090
Cloudstone Curio,1.08,52261
Grafdigger's Cage,1.08,59888
Flooded Woodlands,1.08,669
Acquire,1.08,8877
Kinjalli's Sunwing,1.07,39393
Commandeer,1.07,27293
Words of Wind,1.07,3769
Aura Flux,1.07,528
Ugin's Binding,1.07,16912
Martyr's Bond,1.07,9060
Platinum Emperion,1.07,19712
Tocatli Honor Guard,1.07,6258
Brain Freeze,1.07,91036
Phyrexian Swarmlord,1.07,27080
"Muldrotha, the Gravetide",1.07,46222
Mind Sludge,1.07,1352
Mudslide,1.07,1347
Badlands,1.07,172299
Venerated Rotpriest,1.07,43586
Vile Consumption,1.07,1895
Gilt-Leaf Archdruid,1.06,5845
Birthing Pod,1.06,62729
Academy Manufactor,1.06,233957
Ashnod's Altar,1.06,414683
Harbinger of the Seas,1.06,21233
Opposition,1.06,19517
Arena of the Ancients,1.06,1305
"Esika, God of the Tree",1.05,25559
Darksteel Forge,1.05,69924
Goblin Game,1.05,4007
Academy Rector,1.05,17812
Praetor's Grasp,1.05,66856
Kenrith's Transformation,1.05,157866
Mind Twist,1.05,4461
Pale Moon,1.05,200
Earthlink,1.05,154
Serra's Emissary,1.05,43239
Natural Order,1.05,56484
Wave of Vitriol,1.05,5825
"Xanathar, Guild Kingpin",1.05,15133
Grafted Exoskeleton,1.04,51182
"Light-Paws, Emperor's Voice",1.04,28342
"Syr Konrad, the Grim",1.04,258543
Sliver Gravemother,1.04,13764
Part the Waterveil,1.04,12896
Terror of the Peaks,1.04,150837
Bloodletter of Aclazotz,1.04,94057
Basalt Monolith,1.04,152428
Helm of the Host,1.04,184161
Nevermore,1.04,3765
Space Beleren,1.03,1628
Nature's Will,1.03,37850
"Kroxa, Titan of Death's Hunger",1.03,18281
Portcullis,1.03,2020
Captain Sisay,1.03,17930
Magus of the Balance,1.03,2399
"Lavinia, Azorius Renegade",1.03,36871
"Braids, Arisen Nightmare",1.03,202288
Deadeye Navigator,1.03,63283
Parallel Lives,1.02,191210
High Noon,1.02,10027
Conversion,1.02,273
Savor the Moment,1.02,6952
Ixidron,1.02,15006
Head Games,1.02,3642
Sheoldred,1.02,74621
"Purphoros, God of the Forge",1.02,126909
Amnesia,1.02,413
Agatha's Soul Cauldron,1.02,65812
"Animar, Soul of Elements",1.01,23572
Polyraptor,1.01,31049
Pathrazer of Ulamog,1.01,51777
Dismiss into Dream,1.01,8390
Hushwing Gryff,1.01,10870
Heartless Hidetsugu,1.01,35603
"Kira, Great Glass-Spinner",1.01,19968
Angelic Arbiter,1.01,22107
Strip Mine,1.01,154663
Dramatic Reversal,1.01,138969
"Nykthos, Shrine to Nyx",1.01,310550
Doorkeeper Thrull,1.0,13671
Archon of Absolution,1.0,13471
Neverending Torment,1.0,680
Mnemonic Sliver,1.0,1482
Dragon Hunter,1.0,456
Xantid Swarm,1.0,5395
Hidetsugu and Kairi,1.0,11786
Voidstone Gargoyle,1.0,293
Lapse of Certainty,1.0,16939
Active Volcano,1.0,1409
Warped Devotion,1.0,619
Break the Ice,1.0,684
Patron Wizard,1.0,8179
"Etrata, the Silencer",1.0,14551
Tranquil Grove,1.0,795
"Pramikon, Sky Rampart",1.0,12138
Cabal Shrine,1.0,47
"Nevinyrral, Urborg Tyrant",1.0,2109
Absorb Identity,1.0,3630
Imposing Sovereign,1.0,6337
Thermal Blast,1.0,37
Mindlock Orb,1.0,1856
Scampire,1.0,344
City of Solitude,1.0,4853
Thought Reflection,1.0,11156
Natural Balance,1.0,768
"Avacyn, Guardian Angel",1.0,3619
Roller Coaster,1.0,7
Boldwyr Heavyweights,1.0,5717
Creature Bond,1.0,245
Clown Extruder,1.0,11
Fugue,1.0,84
Delirium Skeins,1.0,12472
Tropical Island,1.0,182836
Cryoclasm,1.0,169
Scourglass,1.0,5469
Psychic Battle,1.0,2241
Ward Sliver,1.0,8010
Skull Raid,1.0,1062
"Kaya, Orzhov Usurper",1.0,4826
Blazing Archon,1.0,14613
Abandon Hope,1.0,646
"Frodo, Sauron's Bane",1.0,10165
Hindering Touch,1.0,775
"Arwen, Mortal Queen",1.0,15969
Time Reversal,1.0,18021
Robo-Piñata,1.0,258
"Ixhel, Scion of Atraxa",1.0,16496
Tempting Wurm,1.0,5971
Arborback Stomper,1.0,1008
"Vadrik, Astral Archmage",1.0,5614
Vedalken Squirrel-Whacker,1.0,3175
Specter's Wail,1.0,153
Glasses of Urza,1.0,6080
Reality Scramble,1.0,9405
Bamboozling Beeble,1.0,4107
Implode,1.0,421
Stupor,1.0,394
Novablast Wurm,1.0,1867
Predatory Focus,1.0,3116
"Blim, Comedic Genius",1.0,1946
Stromgald Cabal,1.0,1358
Curse of Obsession,1.0,8975
Gravepurge,1.0,15219
Violent Impact,1.0,1426
Galecaster Colossus,1.0,8502
Magus of the Unseen,1.0,939
Curse of Shallow Graves,1.0,7154
Status // Statue,1.0,2401
Daring Thief,1.0,5495
Sadistic Sacrament,1.0,2513
"Dee Kay, Finder of the Lost",1.0,750
Lantern of Insight,1.0,16303
Phyrexian Vatmother,1.0,4772
Biovisionary,1.0,11391
Herald of Leshrac,1.0,7000
Treacherous Urge,1.0,1891
Roon of the Hidden Realm,1.0,2383
Aggressive Mining,1.0,7833
Cut Your Losses,1.0,30460
"Sythis, Harvest's Hand",1.0,92229
"Vito, Thorn of the Dusk Rose",1.0,159039
Chancellor of the Annex,1.0,7503
Aggravated Assault,1.0,104303
Platinum Angel,0.99,57049
Maddening Cacophony,0.99,57811
Sanctum Prelate,0.99,13990
"Orvar, the All-Form",0.99,11842
Peer into the Abyss,0.99,85754
Larceny,0.99,2997
Uba Mask,0.99,10953
Nature's Wrath,0.99,612
"Gishath, Sun's Avatar",0.99,28620
Flawless Maneuver,0.99,270401
Breath of Dreams,0.99,315
Worms of the Earth,0.99,203
Kodama of the East Tree,0.99,92627
Destructive Urge,0.99,2222
Skullclamp,0.99,685260
Bloodchief Ascension,0.99,103088
"Tivit, Seller of Secrets",0.98,13958
Peregrine Drake,0.98,98082
Consuming Tide,0.98,27101
Brand of Ill Omen,0.98,346
Tidespout Tyrant,0.98,26698
Myojin of Infinite Rage,0.98,2027
Turf Wound,0.98,218
Fade Away,0.98,4445
Wanderwine Prophets,0.98,8360
Burgeoning,0.98,93817
Force of Vigor,0.98,90530
Butcher of Malakir,0.98,92951
"Kambal, Consul of Allocation",0.98,70919
Mind Shatter,0.98,1887
Eye of Ugin,0.97,37635
"Razaketh, the Foulblooded",0.97,62126
"Liesa, Shroud of Dusk",0.97,9211
Scion of the Ur-Dragon,0.97,15901
Archfiend of Depravity,0.97,53796
Mana Echoes,0.97,27009
Wash Out,0.97,18631
Worldly Tutor,0.97,364778
Meren of Clan Nel Toth,0.97,40825
The Great Aurora,0.97,6720
Panharmonicon,0.97,230734
"Lathril, Blade of the Elves",0.97,8044
Imprisoned in the Moon,0.97,107302
Windborn Muse,0.97,94239
Bloodroot Apothecary,0.97,18312
Bane of Bala Ged,0.97,42617
Sylvan Library,0.97,288793
Memnarch,0.96,11263
Worldgorger Dragon,0.96,17884
Dark Deal,0.96,65748
Plow Under,0.96,294
Sakashima of a Thousand Faces,0.96,81858
Eye of the Storm,0.96,6274
Rumbling Crescendo,0.96,431
Merieke Ri Berit,0.96,2277
Permission Denied,0.96,22534
The Gitrog Monster,0.96,67723
Gray Merchant of Asphodel,0.96,261459
Soulless Jailer,0.96,37964
"Brago, King Eternal",0.96,40967
Gloom,0.96,414
"Thada Adel, Acquisitor",0.96,21428
"Llawan, Cephalid Empress",0.95,3222
Beseech the Mirror,0.95,86142
Commander's Plate,0.95,137617
Ankh of Mishra,0.95,19454
From the Ashes,0.95,6054
Mindbreak Trap,0.95,130072
Breach the Multiverse,0.95,114531
Enlightened Tutor,0.95,450373
Kudzu,0.94,415
Archfiend of Despair,0.94,35231
Rooftop Storm,0.94,52971
Hand of the Praetors,0.94,10018
"Birgi, God of Storytelling",0.94,153768
"Jetmir, Nexus of Revels",0.94,47769
Greater Auramancy,0.94,42383
True-Name Nemesis,0.94,8479
Plateau,0.94,158478
"Vraska, Betrayal's Sting",0.94,76808
